Model,Max memory.used [MB],Faketensor Estimate [MB],Max memory.used [GB],FakeTensor Estimation(GB),FakeTensor overhead,Execution time(m),Run folder,Time,Script,batch_size,epochs,GB after forward,GB after backward,Execution time(s),Execution time(h)
resnet34_cifar100,1074.0,145.3094711303711,1.048828125,0.14190378040075302,0.5998297296464443,0.2171488714714845,2025-09-22_10-17-38_resnet34_cifar100.py_--batch_size_128_--epochs_1,2025-09-22_10-17-38,resnet34_cifar100.py,,,0.08037996292114258,0.14190378040075302,13.02893228828907,0.003619147857858075
resnet50_cifar100,666.0,64.1101303100586,0.650390625,0.0626075491309166,1.082097384147346,1.4161015138806154,2025-09-22_10-17-55_resnet50_cifar100.py_--batch_size_32_--epochs_1,2025-09-22_10-17-55,resnet50_cifar100.py,,,0.05713236331939697,0.0626075491309166,84.96609083283693,0.023601691898010257
resnet50_cifar100,720.0,118.4839096069336,0.703125,0.11570694297552109,1.0919845858588815,0.7444037340736638,2025-09-22_10-19-24_resnet50_cifar100.py_--batch_size_64_--epochs_1,2025-09-22_10-19-24,resnet50_cifar100.py,,,0.11363136768341064,0.11570694297552109,44.664224044419825,0.012406728901227728
resnet50_cifar100,854.0,233.3501205444336,0.833984375,0.22788097709417343,1.0783066432923079,0.3746685686831673,2025-09-22_10-20-12_resnet50_cifar100.py_--batch_size_128_--epochs_1,2025-09-22_10-20-12,resnet50_cifar100.py,,,0.226629376411438,0.22788097709417343,22.480114120990038,0.006244476144719455
resnet50,3934.0,2672.51602935791,3.841796875,2.609878934919834,0.5865994580090046,34.95123686658529,2025-09-22_10-20-39_resnet50.py_--batch_size_32_--num_epochs_1,2025-09-22_10-20-39,resnet50.py,,,2.586193561553955,2.609878934919834,2097.0742119951174,0.5825206144430881
resnet50,7106.0,5337.01309967041,6.939453125,5.211926855146885,0.5738753406330943,32.57317059091292,2025-09-22_10-55-39_resnet50.py_--batch_size_64_--num_epochs_1,2025-09-22_10-55-39,resnet50.py,,,5.164559841156006,5.211926855146885,1954.3902354547754,0.5428861765152154
resnet50,13236.0,10666.00724029541,12.92578125,10.416022695600986,0.5669602900743484,31.267369099520145,2025-09-22_11-28-17_resnet50.py_--batch_size_128_--num_epochs_1,2025-09-22_11-28-17,resnet50.py,,,10.321292400360107,10.416022695600986,1876.0421459712088,0.5211228183253358
vgg,6684.0,3121.34464263916,6.52734375,3.048188127577305,0.12576553039252758,50.76109133618884,2025-09-22_11-59-37_vgg.py_--batch_size_32_--num_epochs_1,2025-09-22_11-59-37,vgg.py,,,2.664059638977051,3.048188127577305,3045.6654801713303,0.8460181889364806
vgg,11760.0,5379.02921295166,11.484375,5.252958215773106,0.12521597929298878,46.699578136764465,2025-09-22_12-50-26_vgg.py_--batch_size_64_--num_epochs_1,2025-09-22_12-50-26,vgg.py,,,4.867547988891602,5.252958215773106,2801.974688205868,0.7783263022794078
vgg,21864.0,9894.39835357666,21.3515625,9.662498392164707,0.12315406184643507,44.59338683901976,2025-09-22_13-37-11_vgg.py_--batch_size_128_--num_epochs_1,2025-09-22_13-37-11,vgg.py,,,9.274524688720703,9.662498392164707,2675.6032103411853,0.7432231139836626
Xception,5918.0,4166.47061920166,5.779296875,4.068818964064121,0.5537816528230906,49.854630692473926,2025-09-22_14-21-50_Xception.py_--batch_size_32_--num_epochs_1,2025-09-22_14-21-50,Xception.py,,,4.045133590698242,4.068818964064121,2991.2778415484354,0.8309105115412321
Xception,11106.0,8324.91690826416,10.845703125,8.129801668226719,0.5719825634732842,48.811245782176655,2025-09-22_15-11-46_Xception.py_--batch_size_64_--num_epochs_1,2025-09-22_15-11-46,Xception.py,,,8.08243465423584,8.129801668226719,2928.674746930599,0.8135207630362775
Xception,21236.0,16641.80948638916,20.73828125,16.251767076551914,0.5501748118549585,47.56218124224494,2025-09-22_16-00-39_Xception.py_--batch_size_128_--num_epochs_1,2025-09-22_16-00-39,Xception.py,,,16.157036781311035,16.251767076551914,2853.7308745346963,0.7927030207040823
xlnet_base_cased,9192.0,,8.9765625,,,59.041556139864646,2025-09-22_16-48-16_xlnet_base_cased.py,2025-09-22_16-48-16,xlnet_base_cased.py,,,,,3542.493368391879,0.9840259356644108
xlnet_large_cased,19330.0,,18.876953125,,,58.73682098935048,2025-09-22_17-47-26_xlnet_large_cased.py,2025-09-22_17-47-26,xlnet_large_cased.py,,,,,3524.2092593610287,0.9789470164891746
UNet,9910.0,3404.0841331481934,9.677734375,3.3243009112775326,0.6430061673745513,5.272852760165309,2025-09-22_18-46-17_UNet.py,2025-09-22_18-46-17,UNet.py,,,3.074289560317993,3.3243009112775326,316.37116560991853,0.08788087933608849
_home_ehyo_rad-scheduler_workloads_dlrm_dlrm_s_pytorch,1468.0,,1.43359375,,,25.24341408497033,2025-09-23_11-54-21__home_ehyo_rad-scheduler_workloads_dlrm_dlrm_s_pytorch.py_--data-set_terabyte_--raw-data-file__raid_datasets_criteo_data_day_--loss-function_bce_--round-targets_True_--learning-rate_0.05_--mini-batch-,2025-09-23_11-54-21,_home_ehyo_rad-scheduler_workloads_dlrm_dlrm_s_pytorch.py,,,,,1514.6048450982198,0.42072356808283884
_home_ehyo_rad-scheduler_workloads_vision_references_detection_train,28606.0,,27.935546875,,,0.027678333333333336,2025-09-23_12-19-39__home_ehyo_rad-scheduler_workloads_vision_references_detection_train.py_--dataset_coco_--data-path__raid_datasets_coco_--model_maskrcnn_resnet50_fpn_--epochs_1_-b_8_--output-dir_runs,2025-09-23_12-19-39,_home_ehyo_rad-scheduler_workloads_vision_references_detection_train.py,,,,,1.6607,0.00046130555555555557
